C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,P010010001,xxx,P108,P01,P01,228
2024,P10,P010020001,xxx,P108,P01,P01,1
2024,P10,P010050001,xxx,P108,P01,P01,47
2024,P10,P010060001,xxx,P108,P01,P01,2
2024,P10,P010070001,xxx,P108,P01,P01,6
2024,P10,P010110001,xxx,P108,P01,P01,12
2024,P10,P020010001,xxx,P108,P01,P01,185
2024,P10,P020020001,xxx,P108,P01,P01,1022
2024,P10,P020050001,xxx,P108,P01,P01,110
2024,P10,P020030001,xxx,P108,P01,P01,42
2024,P10,P020040001,xxx,P108,P01,P01,1901
2024,P10,P040020001,xxx,P108,P01,P01,1041
2024,P10,P040030001,xxx,P108,P01,P01,1538
2024,P10,P040040001,xxx,P108,P01,P01,7
2024,P10,P040050001,xxx,P108,P01,P01,1
2024,P10,P040080001,xxx,P108,P01,P01,257
2024,P10,P070010001,xxx,P108,P01,P01,7
2024,P10,P070020001,xxx,P108,P01,P01,29
2024,P10,P070030001,xxx,P108,P01,P01,26
2024,P10,P070090001,xxx,P108,P01,P01,360
2024,P10,P070120001,xxx,P108,P01,P01,101
2024,P10,P070150001,xxx,P108,P01,P01,55
2024,P10,P070270001,xxx,P108,P01,P01,359
2024,P10,P070190001,xxx,P108,P01,P01,840
2024,P10,P070320001,xxx,P108,P01,P01,6
2024,P10,P070340001,xxx,P108,P01,P01,11
2024,P10,P070350001,xxx,P108,P01,P01,38
2024,P10,P070370001,xxx,P108,P01,P01,54
2024,P10,P070400001,xxx,P108,P01,P01,94
2024,P10,P070460001,xxx,P108,P01,P01,5
2024,P10,P070470001,xxx,P108,P01,P01,1
2024,P10,P070480001,xxx,P108,P01,P01,1
2024,P10,P070410001,xxx,P108,P01,P01,8
2024,P10,P070990001,xxx,P108,P01,P01,118
2024,P10,P070510001,xxx,P108,P01,P01,80
2024,P10,P070540001,xxx,P108,P01,P01,28
2024,P10,P070550001,xxx,P108,P01,P01,9
2024,P10,P070610001,xxx,P108,P01,P01,9
2024,P10,P070690001,xxx,P108,P01,P01,138
2024,P10,P070720001,xxx,P108,P01,P01,7
2024,P10,P070780001,xxx,P108,P01,P01,193
2024,P10,P070790001,xxx,P108,P01,P01,38
2024,P10,P070830001,xxx,P108,P01,P01,8
2024,P10,P070860001,xxx,P108,P01,P01,3
2024,P10,P070870001,xxx,P108,P01,P01,36
2024,P10,P070890001,xxx,P108,P01,P01,613
2024,P10,P070940001,xxx,P108,P01,P01,122
2024,P10,P070970001,xxx,P108,P01,P01,743
2024,P10,P071020001,xxx,P108,P01,P01,71
2024,P10,P071010001,xxx,P108,P01,P01,2089
2024,P10,P071030001,xxx,P108,P01,P01,53
