C601,C602,R004-0801, R004-0802 ,R004-0803,,,
2024,P07,1233955,387.9310345,0,,,
2024,P07,1233976,362.0689655,0,,,
2024,P07,1233994,682.7586207,519,,,
2024,P07,1234038,1465.517241,444,,,
2024,P07,1239102,0,0,,,
2024,P07,1239111,1241.37931,103,,,
2024,P07,1239114,517.2413793,44,,,
2024,P07,1239117,198.2758621,48,,,
2024,P07,1243855,0,0,,,
2024,P08,768866,51.72413793,0,,,
2024,P08,768872,43.10344828,0,,,
2024,P08,1155167,237.9310345,1687,,,
2024,P08,1167963,359.4827586,1764,,,
2024,P08,1170850,513.7931034,170,,,
2024,P08,1170865,548.2758621,1023,,,
2024,P08,1170873,824.137931,709,,,
2024,P08,1170903,893.1034483,999,,,
2024,P08,1171142,902.5862069,148,,,
2024,P08,1171174,1290.517241,44,,,
2024,P08,1171278,1678.448276,81,,,
2024,P08,1171598,2153.448276,13,,,
2024,P08,1171895,4136.206897,9,,,
2024,P08,1171361,1807.758621,61,,,
2024,P08,1171737,2325.862069,5,,,
2024,P08,1172000,4481.034483,17,,,
2024,P08,1171437,2325,23,,,
2024,P08,1171775,2929.310345,6,,,
2024,P08,1172086,5170.689655,23,,,
2024,P08,1233955,5344.827586,0,,,
2024,P08,1233976,1810.344828,0,,,
2024,P08,1233994,22018.96552,907,,,
2024,P08,1234038,24310.34483,1859,,,
2024,P08,1239102,820.6896552,0,,,
2024,P08,1239111,12000,276,,,
2024,P08,1239114,8448.275862,61,,,
2024,P08,1239117,9913.793103,98,,,
2024,P08,1243855,0,0,,,
2024,P09,773462,172.4137931,0,,,
2024,P09,768866,181.0344828,0,,,
2024,P09,768872,301.7241379,0,,,
2024,P09,1155167,530110.3448,2745,,,
2024,P09,1167963,478591.3793,1126,,,
2024,P09,1170850,217591.3793,269,,,
2024,P09,1170865,556088.7931,662,,,
2024,P09,1170873,623666.3793,644,,,
2024,P09,1170903,903150.8621,903,,,
2024,P09,1171142,203081.8966,182,,,
2024,P09,1171174,92056.89655,49,,,
2024,P09,1171278,88957.75862,71,,,
2024,P09,1171598,12920.68966,7,,,
2024,P09,1171895,35157.75862,10,,,
2024,P09,1171361,227777.5862,70,,,
2024,P09,1171737,45354.31034,9,,,
2024,P09,1172000,58253.44828,12,,,
2024,P09,1171437,91450,35,,,
2024,P09,1171775,20505.17241,3,,,
2024,P09,1172086,93072.41379,27,,,
2024,P09,1233955,19827.58621,0,,,
2024,P09,1233976,8379.310345,0,,,
2024,P09,1233994,69470.68966,1767,,,
2024,P09,1234038,99655.17241,1228,,,
2024,P09,1239102,6975.862069,38,,,
2024,P09,1239111,42931.03448,522,,,
2024,P09,1239114,23103.44828,123,,,
