C601;C602;C101;C001;R004-0601;R004-0602;R004-0603;R004-0604;R004-0605;R004-0606;R004-0607;R004-0608;R004-0609;R004-0610;R004-0611;R004-0612;R004-0613;R004-0614
2025;P01;P206;P09;1;N/A;8;0;0;0;16;8;3;6;5;3;0;0
2025;P02;P206;P09;0;N/A;1;0;4;0;2;2;1;1;1;2;0;0
2025;P03;P206;P09;0;N/A;2;0;0;0;7;4;2;1;1;1;0;0
