C601;C602;C105;R004-0401;R004-0402;R004-0403
2025;P01;P01;2757;27570;1886
2025;P01;P02;97356;4138193;54179
2025;P01;P03;41135;4076658;31909
2025;P01;P04;50301;7542058;48634
2025;P01;P05;18979;3794150;18120
2025;P01;P06;6216;1802541;5977
2025;P01;P07;803;708336;799
2025;P02;P01;2275;22750;1794
2025;P02;P02;85559;3746413;49610
2025;P02;P03;36939;3637539;28932
2025;P02;P04;44293;6638353;42260
2025;P02;P05;17830;3562919;17200
2025;P02;P06;8225;2296668;7872
2025;P02;P07;850;847263;850
2025;P03;P01;1989;19890;1612
2025;P03;P02;78194;3453038;45419
2025;P03;P03;34221;3365781;26995
2025;P03;P04;40351;6043583;39044
2025;P03;P05;16675;3330101;16168
2025;P03;P06;8294;2302323;8072
2025;P03;P07;651;650052;647
