C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,NA,NA,NA,"$625,546.66","$75,868.68",NA,"$120,149.02"
2024,P02,NA,NA,NA,NA,"$480,350.11","$72,262.64",NA,"$290,550.85"
2024,P03,NA,NA,NA,NA,"$594,737.16","$74,184.00",NA,"$95,347.67"
2024,P04,NA,NA,NA,NA,"$397,394.24","$79,638.40",NA,"$289,309.22"
2024,P05,NA,NA,NA,NA,"$756,853.94","$84,360.87",NA,"$125,317.23"
2024,P06,NA,NA,NA,NA,"$470,889.63","$87,457.30",NA,"$580,728.97"
2024,P07,NA,NA,NA,NA,"$430,299.99","$98,981.55",NA,"$190,418.98"
2024,P08,NA,NA,NA,NA,"$555,145.71","$113,476.13",NA,"$235,091.85"
2024,P09,NA,NA,NA,NA,"$540,335.86","$125,466.20",NA,"$246,043.00"
2024,P10,NA,NA,NA,NA,"$595,392.35","$140,399.71",NA,"$225,784.48"
2024,P11,NA,NA,NA,NA,"$480,565.06","$87,595.78",NA,"$97,760.12"
2024,P12,NA,NA,NA,NA,"$794,974.95","$70,979.84",NA,"$280,570.83"
