C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,1210,NA,NA,NA,1680,NA,NA,NA
2024,P02,NA,NA,NA,NA,NA,1240,NA,NA,NA,1700,NA,NA,NA
2024,P03,NA,NA,NA,NA,NA,1290,NA,NA,NA,1735,NA,NA,NA
2024,P04,NA,NA,NA,NA,NA,1325,NA,NA,NA,1745,NA,NA,NA
2024,P05,NA,NA,NA,NA,NA,1320,NA,NA,NA,1741,NA,NA,NA
2024,P06,NA,NA,NA,NA,NA,1321,NA,NA,NA,1712,NA,NA,NA
2024,P07,NA,NA,NA,NA,NA,1342,NA,NA,NA,1690,NA,NA,NA
2024,P08,NA,NA,NA,NA,NA,1390,NA,NA,NA,1720,NA,NA,NA
2024,P09,NA,NA,NA,NA,NA,1400,NA,NA,NA,1725,NA,NA,NA
2024,P10,NA,NA,NA,NA,NA,1432,NA,NA,NA,1720,NA,NA,NA
2024,P11,NA,NA,NA,NA,NA,1472,NA,NA,NA,1723,NA,NA,NA
2024,P12,NA,NA,NA,NA,NA,1480,NA,NA,NA,1732,NA,NA,NA
