C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P130220019,NO,SI,NO,NO
2024,P130220091,NO,NO,NO,NO
2024,P130480001,NO,SI,NO,NO
2024,P130480153,NO,SI,NO,NO
2024,P130480154,NO,NO,NO,NO
2024,P130480158,NO,SI,NO,NO
2024,P130480193,NO,NO,NO,NO
2024,P130480244,NO,NO,NO,NO
2024,P130480248,NO,NO,NO,NO
2024,P130510001,NO,SI,NO,NO
2024,P130510006,NO,NO,NO,NO
2024,P130510038,NO,NO,NO,NO
2024,P130510069,NO,NO,NO,NO
2024,P130510083,NO,NO,NO,NO
2024,P130510089,NO,NO,NO,NO
2024,P130510148,NO,NO,NO,NO
2024,P130510151,NO,NO,NO,NO
2024,P130510152,NO,NO,NO,NO
2024,P130510154,NO,NO,NO,NO
2024,P130520001,NO,SI,NO,NO
2024,P130520006,NO,NO,NO,NO
2024,P130520051,NO,NO,NO,NO
2024,P130520059,NO,NO,NO,NO
2024,P130690002,NO,SI,NO,NO
2024,P130690005,NO,NO,NO,NO
2024,P130690010,NO,NO,NO,NO
2024,P130690011,NO,SI,NO,NO
2024,P130690019,NO,SI,NO,NO
2024,P130690029,NO,SI,NO,NO
2024,P130690033,NO,NO,NO,NO
2024,P130690042,NO,NO,NO,NO
2024,P130690044,NO,SI,NO,NO
2024,P130690050,NO,NO,NO,NO
2024,P130690058,NO,NO,NO,NO
2024,P130690062,NO,NO,NO,NO
2024,P130690063,NO,NO,NO,NO
2024,P130750001,NO,SI,NO,NO
2024,P130750002,NO,NO,NO,NO
2024,P130750040,NO,NO,NO,NO
2024,P130750041,NO,NO,NO,NO
2024,P130820037,NO,NO,NO,NO
2024,P130830023,NO,SI,NO,NO
2024,P130830060,NO,NO,NO,NO
2024,P130830061,NO,NO,NO,NO
2024,P130830102,NO,SI,NO,NO
2024,P130830133,NO,NO,NO,NO
2024,P130830136,NO,NO,NO,NO
2024,P130830137,NO,NO,NO,NO
2024,P130830138,NO,NO,NO,NO
2024,P150840007,NO,SI,NO,NO
2024,P130820001,NO,SI,NO,NO
2024,P130820003,NO,NO,NO,NO
