C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306,,
2024,P170040012,NA,NA,13,NA,NA,NA,,
2024,P170040171,NA,NA,6,NA,NA,NA,,
2024,P170040011,NA,NA,6,NA,NA,NA,,
2024,P170040010,NA,NA,6,NA,NA,NA,,
2024,P170040027,NA,NA,2,NA,NA,NA,,
2024,P170040196,NA,NA,13,NA,NA,NA,,
2024,P170040184,NA,NA,5,NA,NA,NA,,
2024,P170040070,NA,NA,3,NA,NA,NA,,
2024,P170040031,NA,NA,3,NA,NA,NA,,
2024,P170300040,NA,NA,7,NA,NA,NA,,
2024,P170060030,NA,NA,3,NA,NA,NA,,
2024,P170290012,NA,NA,5,NA,NA,NA,,
2024,P170290001,NA,NA,5,NA,NA,NA,,
2024,P170290138,NA,NA,5,NA,NA,NA,,
2024,P170300099,NA,NA,1,NA,NA,NA,,
2024,P170300079,NA,NA,1,NA,NA,NA,,
2024,P170300001,NA,NA,7,NA,NA,NA,,
