C601,C602,R002-0301,R002-0302
2023,P01,138282,82913.5
2023,P02,142189.5,56192.65
2023,P03,130708.1,35610
2023,P04,140251.5,54754.5
2023,P05,139951,50582
2023,P06,136197.93,30320
2023,P07,152090.5,68872
2023,P08,158318.4,70738.4
2023,P09,167288,69669
2023,P10,165332.75,75134.56
2023,P11,169811.5,77668.5
2023,P12,194708.25,73076.46
,,,
,,,
