C601,C602,R002-0301,R002-0302
2024,P01,1996457.30,1599345.20
2024,P02,1887089.10,1587455.60
2024,P03,1897720.90,1575566.00
2024,P04,1828352.70,1573676.40
2024,P05,1778984.50,1561786.80
2024,P06,1729616.30,1552897.20
2024,P07,1680248.10,1544007.60
2024,P08,1630879.90,1535118.00
2024,P09,1581511.70,1526228.40
2024,P10,1532143.50,1517338.80
2024,P11,1508449.20,1482775.30
2024,P12,1499559.60,1433407.10
