C601,C602,C101,R002-0501
2023,P01,P108,19417
2023,P02,P108,19389
2023,P03,P108,18874
2023,P04,P108,20646
2023,P05,P108,20629
2023,P06,P108,20225
2023,P07,P108,20967
2023,P08,P108,20978
2023,P09,P108,20900
2023,P10,P108,21127
2023,P11,P108,21454
2023,P12,P108,21542
2023,P01,P114,14383
2023,P02,P114,14362
2023,P03,P114,13981
2023,P04,P114,15293
2023,P05,P114,15281
2023,P06,P114,14981
2023,P07,P114,15531
2023,P08,P114,15539
2023,P09,P114,15482
2023,P10,P114,15650
2023,P11,P114,15892
2023,P12,P114,15957
