C601,C602,R002-0301,R002-0302,,,,
2023,P01,"1,025,189.00","1,025,189.00",,,,
2023,P02,"593,502.00","593,502.00",,,,
2023,P03,"1,464,143.00","1,464,143.00",,,,
2023,P04,"227,191.00","227,191.00",,,,
2023,P05,"594,597.00","594,597.00",,,,
2023,P06,"952,115.00","952,115.00",,,,
2023,P07,"707,049.00","707,049.00",,,,
2023,P08,"-23,431.00","-23,431.00",,,,
2023,P09,"-4,058,408.00","-4,058,408.00",,,,
2023,P10,"-220,256.00","-220,256.00",,,,
2023,P11,"407,176.00","407,176.00",,,,
2023,P12,"-3,178,374.00","-3,178,374.00",,,,
,,,,,,,
,,,,,,,
,,,,,,,
