C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,,,,,
2023,P01,"16,351.00","40,448.00","157,083.00",N/A,"31,322.00","684,255.00","42,127.00","451,288.00",,,,,
2023,P02,"19,368.00","407,928.00","242,346.00",N/A,"35,383.00","587,507.00","46,638.00","562,570.00",,,,,
2023,P03,"56,179.00","313,419.00","239,175.00",N/A,"45,481.00","802,866.00","32,003.00","643,215.00",,,,,
2023,P04,"16,351.00","425,056.00","241,786.00",N/A,"19,600.00","604,593.00","35,833.00","476,575.00",,,,,
2023,P05,"25,229.00","441,633.00","360,882.00",N/A,"47,566.00","596,834.00","46,253.00","716,875.00",,,,,
2023,P06,"16,351.00","98,941.00","670,520.00",N/A,"44,488.00","756,899.00","34,687.00","608,024.00",,,,,
2023,P07,"17,351.00","332,411.00","324,723.00",N/A,"33,437.00","599,717.00","55,433.00","764,698.00",,,,,
2023,P08,"31,351.00","453,083.00","565,213.00",N/A,"45,551.00","613,990.00","96,994.00","1,032,216.00",,,,,
2023,P09,"621,211.00","545,056.00","648,078.00",N/A,"782,737.00","724,081.00","1,995,706.00","8,947,830.00",,,,,
2023,P10,"19,216.00","516,046.00","570,765.00",N/A,"58,390.00","580,491.00","522,501.00","1,059,741.00",,,,,
2023,P11,"12,246.00","388,252.00","353,369.00",N/A,"30,163.00","586,234.00","34,653.00","845,241.00",,,,,
2023,P12,"765,247.00","1,065,969.00","707,854.00",N/A,"91,442.00","1,061,629.00","1,079,467.00","1,971,743.00",,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
