C601,C602,C101,C102,C103,R004-0101
2024,P01,P115,P02,NA,22
2024,P02,P115,P02,NA,10
2024,P03,P115,P02,NA,10
2024,P01,P108,P02,NA,749
2024,P02,P108,P02,NA,506
2024,P03,P108,P02,NA,478
2024,P01,P101,P02,NA,0
2024,P02,P101,P02,NA,0
2024,P03,P101,P02,NA,0
