C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109,
2021,P01,1293,40264,810246,NA,NA,NA,NA,NA,NA,
2021,P02,5000,39079,825327,NA,NA,NA,NA,NA,NA,
2021,P03,2586,32959,829949,NA,NA,NA,NA,NA,NA,
2021,P04,1500,8164,844057,NA,NA,NA,NA,NA,NA,
2021,P05,1000,28088,826110,NA,NA,NA,NA,NA,NA,
2021,P06,0,31500,879426,NA,NA,NA,NA,NA,NA,
2021,P07,1536,117059,891939,NA,NA,NA,NA,NA,NA,
2021,P08,2610,16000,894331,NA,NA,NA,NA,NA,NA,
2021,P09,0,240253,928414,NA,NA,NA,NA,NA,NA,
2021,P10,9005,26486,925957,NA,NA,NA,NA,NA,NA,
2021,P11,9859,17452,942307,NA,NA,NA,NA,NA,NA,
2021,P12,536083,131178,989455,NA,NA,NA,NA,NA,NA,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
