C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,NA,164740,NA,NA,89287.27,NA,336604.61
2024,P02,NA,NA,112500,NA,NA,103586.19,NA,470061.81
2024,P03,NA,NA,112500,NA,NA,89592.77,NA,378470.08
2024,P04,NA,NA,112500,NA,NA,106865.98,NA,614416.67
2024,P05,NA,NA,112500,NA,NA,27122.05,NA,181922.37
2024,P06,NA,NA,112500,NA,NA,32513.92,NA,134972.4
2024,P07,NA,NA,112500,NA,NA,26831.76,NA,123169.06
2024,P08,NA,NA,112500,NA,NA,33156.33,NA,102716.48
2024,P09,NA,NA,112500,NA,NA,25966.31,NA,188371.95
2024,P10,NA,NA,112500,NA,NA,33058.46,NA,13356.88
2024,P11,NA,NA,112500,NA,NA,41069.79,NA,84161.98
2024,P12,NA,NA,112500,NA,NA,71771.36,NA,70424.38
