C601,C602,C101,R002-0501
2024,P01,P108,263
2024,P01,P207,542
2024,P02,P108,203
2024,P01,P114,467
2024,P02,P207,482
2024,P03,P108,150
2024,P03,P207,331
2024,P02,P114,328
2024,P04,P108,167
2024,P04,P207,225
2024,P05,P108,112
2024,P03,P114,246
2024,P05,P207,50
2024,P04,P114,172
2024,P06,P108,121
2024,P05,P114,20
2024,P06,P207,60
2024,P06,P114,21
2024,P07,P114,21
2024,P07,P207,71
2024,P08,P114,20
2024,P07,P108,133
2024,P09,P114,19
2024,P08,P207,74
2024,P08,P108,153
2024,P10,P114,17
2024,P09,P207,78
2024,P09,P108,173
2024,P10,P207,78
2024,P11,P114,16
2024,P10,P108,195
2024,P11,P207,77
2024,P11,P108,209
2024,P12,P114,16
2024,P12,P108,222
2024,P12,P207,77
