C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,0,0,0,0,0,2100,0,0,0,0,0,0,0
2024,P02,0,0,0,0,0,2101,0,0,0,0,0,0,0
2024,P03,0,0,0,0,0,2115,0,0,0,0,0,0,0
2024,P04,0,0,0,0,0,2158,0,0,0,0,0,0,0
2024,P05,0,0,0,0,0,2197,0,0,0,0,0,0,0
2024,P06,0,0,0,0,0,2250,0,0,0,0,0,0,0
2024,P07,0,0,0,0,0,2271,0,0,0,0,0,0,0
2024,P08,0,0,0,0,0,2298,0,0,0,0,0,0,0
2024,P09,0,0,0,0,0,2328,0,0,0,0,0,0,0
2024,P10,0,0,0,0,0,2340,0,0,0,0,0,0,0
2024,P11,0,0,0,0,0,2347,0,0,0,0,0,0,0
2024,P12,0,0,0,0,0,2355,0,0,0,0,0,0,0
