C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01," $29,787.35 ", $-   , $-   , $-   ," $1,323.88 "," $22,505.99 "," $9,267.17 ", $-   
2024,P02," $33,068.41 ", $-   , $-   , $-   ," $1,469.71 "," $24,985.02 "," $10,287.95 ", $-   
2024,P03," $26,139.06 ", $-   , $-   , $-   ," $1,161.74 "," $19,749.51 "," $8,132.15 ", $-   
2024,P04," $23,194.44 ", $-   , $-   , $-   ," $1,030.86 "," $17,524.69 "," $7,216.05 ", $-   
2024,P05," $27,575.46 ", $-   , $-   , $-   ," $1,225.58 "," $20,834.79 "," $8,579.03 ", $-   
2024,P06," $28,576.67 ", $-   , $-   , $-   ," $1,270.07 "," $21,591.26 "," $8,890.52 ", $-   
2024,P07," $19,788.12 ", $-   , $-   , $-   , $879.47 ," $14,951.02 "," $6,156.30 ", $-   
2024,P08," $28,613.00 ", $-   , $-   , $-   ," $1,271.69 "," $21,618.71 "," $8,901.82 ", $-   
2024,P09," $36,887.69 ", $-   , $-   , $-   ," $1,639.45 "," $27,870.70 "," $11,476.17 ", $-   
2024,P10," $62,415.00 ", $-   , $-   , $-   ," $2,774.00 "," $47,158.00 "," $19,418.00 ", $-   
2024,P11," $57,784.75 ", $-   , $-   , $-   ," $2,568.21 "," $43,659.59 "," $17,977.48 ", $-   
2024,P12," $54,316.87 ", $-   , $-   , $-   ," $2,414.08 "," $41,039.41 "," $16,898.58 ", $-   
