C601,C602,R004-0801,R004-0802,R004-0803
2024,P10,171558,6714885.00,11589
2024,P10,212417,15093075.00,3406
2024,P10,244661,27772.15,9
2024,P10,244689,14786316.00,4086
2024,P10,244795,1298617.00,173
2024,P10,244923,7162540.00,15570
2024,P10,252076,366666.80,16
2024,P10,300019,21524012.00,1110
2024,P10,300649,180282.00,59
2024,P10,307055,9478641.00,5481
2024,P10,358615,22078.74,545
2024,P10,360879,22902.56,10
2024,P10,360885,2077424.00,1468
2024,P10,361194,4724499.00,1074
2024,P10,361197,2732044.00,520
2024,P10,364478,32009363.00,1069
2024,P10,364479,61681369.00,7071
2024,P10,371552,249000000.00,27728
2024,P10,371553,31700048.00,5373
2024,P10,458231,83402.39,31
2024,P10,461055,1437895.00,504
2024,P10,524426,5722.93,5
2024,P10,535482,8063674.00,1496
2024,P10,543792,32556.42,12
2024,P10,587462,165929.00,29
2024,P11,171558,6649242.00,11477
2024,P11,212417,15573513.00,3449
2024,P11,244661,23572.15,7
2024,P11,244689,14760430.00,4125
2024,P11,244795,1322162.00,175
2024,P11,244923,6919326.00,15600
2024,P11,252076,351429.60,15
2024,P11,300019,21446231.00,1114
2024,P11,300649,169059.50,59
2024,P11,307055,9297716.00,5386
2024,P11,358615,21561.44,439
2024,P11,360879,19634.40,9
2024,P11,360885,2076412.00,1468
2024,P11,361194,4723174.00,1080
2024,P11,361197,2915679.00,543
2024,P11,364478,31115528.00,1041
2024,P11,364479,60568287.00,6753
2024,P11,371552,247000000.00,28020
2024,P11,371553,31458858.00,5395
2024,P11,458231,83402.39,31
2024,P11,461055,1520999.00,510
2024,P11,524426,4480.54,4
2024,P11,535482,8715071.00,1572
2024,P11,543792,32095.82,12
2024,P11,587462,150619.00,32
2024,P12,171558,6512146.00,11253
2024,P12,212417,14161736.00,3475
2024,P12,244661,23572.15,7
2024,P12,244689,14441091.00,3926
2024,P12,244795,1168201.00,167
2024,P12,244923,7339582.00,15457
2024,P12,252076,351429.60,15
2024,P12,300019,21564003.00,1111
2024,P12,300649,172727.80,59
2024,P12,307055,8907030.00,5267
2024,P12,358615,20995.08,425
2024,P12,360879,19634.40,9
2024,P12,360885,2076412.00,1468
2024,P12,361194,4692518.00,1065
2024,P12,361197,2999196.00,557
2024,P12,364478,31852486.00,1084
2024,P12,364479,59286594.00,6643
2024,P12,371552,247000000.00,28110
2024,P12,371553,31238595.00,5409
2024,P12,458231,83402.39,31
2024,P12,461055,1580888.00,511
2024,P12,524426,4480.54,4
2024,P12,535482,8832699.00,1641
2024,P12,543792,21683.49,10
2024,P12,587462,192750.80,38
