C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2023,P250010001,NO,SI,NO,SI
2023,P260180001,NO,SI,NO,SI
2023,P250060001,NO,SI,NO,SI
2023,P250090001,NO,SI,NO,SI
2023,P250110001,NO,SI,NO,SI
2023,P260290001,NO,SI,NO,SI
2023,P260330221,NO,SI,NO,SI
2023,P250120001,NO,SI,NO,SI
2023,P260420001,NO,SI,NO,SI
2023,P260510001,NO,SI,NO,SI
2023,P250020151,NO,NO,NO,NO
2023,P250020162,NO,NO,NO,NO
2023,P250020043,NO,SI,NO,SI
2023,P250020088,NO,NO,NO,NO
2023,P250020080,NO,NO,NO,NO
2023,P250020111,NO,SI,NO,SI
2023,P250020041,NO,NO,NO,NO
2023,P250020037,NO,NO,NO,NO
2023,P250020007,NO,NO,NO,NO
2023,P250020106,NO,SI,NO,SI
2023,P250020028,NO,NO,NO,NO
2023,P250020095,NO,NO,NO,NO
2023,P250020012,NO,SI,NO,SI
2023,P250020245,NO,NO,NO,NO
2023,P250020101,NO,NO,NO,NO
2023,P250020195,NO,NO,NO,NO
2023,P250020086,NO,NO,NO,NO
2023,P250020181,NO,SI,NO,SI
2023,P250020090,NO,NO,NO,NO
2023,P250020069,NO,SI,NO,SI
2023,P250020135,NO,NO,NO,NO
2023,P250020126,NO,NO,NO,NO
2023,P250020188,NO,NO,NO,NO
2023,P250020030,NO,SI,NO,SI
2023,P250020040,NO,NO,NO,NO
2023,P250020097,NO,SI,NO,SI
2023,P250020117,NO,SI,NO,SI
2023,P250020114,NO,NO,NO,NO
2023,P250020054,NO,NO,NO,NO
2023,P250020058,NO,SI,NO,SI
2023,P250020093,NO,SI,NO,SI
2023,P250020056,NO,NO,NO,NO
2023,P250020221,NO,SI,NO,SI
2023,P250020084,NO,SI,NO,SI
2023,P250020072,NO,NO,NO,NO
2023,P250130181,NO,NO,NO,NO
2023,P250130719,NO,NO,NO,NO
2023,P250180523,NO,NO,NO,NO
2023,P250130256,NO,NO,NO,NO
2023,P250020033,NO,NO,NO,NO
2023,P250130360,NO,NO,NO,NO
2023,P250180524,NO,NO,NO,NO
2023,P250180076,NO,NO,NO,NO
2023,P250130276,NO,NO,NO,NO
2023,P250180065,NO,SI,NO,SI
2023,P250130282,NO,NO,NO,NO
2023,P250130629,NO,NO,NO,NO
2023,P250060746,NO,NO,NO,NO
2023,P250180570,NO,NO,NO,NO
2023,P250180220,NO,NO,NO,NO
2023,P250180091,NO,NO,NO,NO
2023,P250180023,NO,NO,NO,NO
2023,P250130235,NO,NO,NO,NO
2023,P250061061,NO,NO,NO,NO
2023,P250180474,NO,NO,NO,NO
2023,P250060443,NO,NO,NO,NO
2023,P250010068,NO,NO,NO,NO
2023,P250010070,NO,NO,NO,NO
