C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,NA,NA,NA,12103.52,NA,NA,NA,42144.11
2024,P02,NA,NA,NA,17263.11,NA,NA,NA,19948.51
2024,P03,NA,NA,NA,14731.4,NA,NA,NA,25263.11
2024,P04,NA,NA,NA,18525.25,NA,NA,NA,26971.31
2024,P05,NA,NA,NA,15788.67,NA,NA,NA,21521.09
2024,P06,NA,NA,NA,15219.18,NA,NA,NA,16619.51
2024,P07,NA,NA,NA,17589.93,NA,NA,NA,32557.65
2024,P08,NA,NA,NA,15282.71,NA,NA,NA,24685.34
2024,P09,NA,NA,NA,17309.21,NA,NA,NA,17355.84
2024,P10,NA,NA,NA,18053.26,NA,NA,NA,26986.81
2024,P11,NA,NA,NA,17814.43,NA,NA,NA,18352.76
2024,P12,NA,NA,NA,19624,NA,NA,NA,16493.69
