C601,C602,C101,R002-0501
2024,P01,P114,19
2024,P01,P108,8
2024,P01,P207,15
2024,P02,P114,26
2024,P02,P108,11
2024,P02,P207,18
2024,P03,P114,32
2024,P03,P108,15
2024,P03,P207,22
2024,P04,P114,35
2024,P04,P108,14
2024,P04,P207,24
2024,P05,P114,42
2024,P05,P108,25
2024,P05,P207,28
2024,P06,P114,46
2024,P06,P108,29
2024,P06,P207,36
2024,P07,P114,51
2024,P07,P108,34
2024,P07,P207,41
2024,P08,P114,58
2024,P08,P108,41
2024,P08,P207,40
2024,P09,P114,69
2024,P09,P108,51
2024,P09,P207,46
2024,P10,P114,74
2024,P10,P108,58
2024,P10,P207,48
2024,P11,P114,81
2024,P11,P108,61
2024,P11,P207,51
2024,P12,P114,82
2024,P12,P108,59
2024,P12,P207,50
