C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,P01,NA,NA,NA,NA,NA,34,NA,NA,NA,23,0,NA,0
2024,P02,NA,NA,NA,NA,NA,44,NA,NA,NA,29,0,NA,0
2024,P03,NA,NA,NA,NA,NA,54,NA,NA,NA,37,0,NA,0
2024,P04,NA,NA,NA,NA,NA,59,NA,NA,NA,38,0,NA,0
2024,P05,NA,NA,NA,NA,NA,70,NA,NA,NA,53,0,NA,0
2024,P06,NA,NA,NA,NA,NA,82,NA,NA,NA,65,0,NA,0
2024,P07,NA,NA,NA,NA,NA,92,NA,NA,NA,75,0,NA,0
2024,P08,NA,NA,NA,NA,NA,98,NA,NA,NA,81,0,NA,0
2024,P09,NA,NA,NA,NA,NA,115,NA,NA,NA,97,0,NA,0
2024,P10,NA,NA,NA,NA,NA,122,NA,NA,NA,106,0,NA,0
2024,P11,NA,NA,NA,NA,NA,132,NA,NA,NA,112,0,NA,0
2024,P12,NA,NA,NA,NA,NA,132,NA,NA,NA,109,0,NA,0
