C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,P110460012,NO,SI,NO,NO,NO
2024,P160160001,NO,SI,NO,NO,NO
2024,P160370001,NO,SI,NO,NO,NO
2024,P160160006,NO,NO,SI,NO,NO
2024,P160370014,NO,SI,NO,NO,NO
2024,P160160029,NO,SI,NO,NO,NO
2024,P160160010,NO,NO,SI,NO,NO
2024,P161070007,NO,NO,SI,NO,NO
2024,P160370002,NO,NO,SI,NO,NO
2024,P160370012,NO,NO,SI,NO,NO
2024,P160370018,NO,NO,SI,NO,NO
2024,P160160034,NO,NO,SI,NO,NO
2024,P160160033,NO,NO,SI,NO,NO
2024,P160160024,NO,NO,SI,NO,NO
2024,P160160019,NO,NO,SI,NO,NO
2024,P160160014,NO,NO,SI,NO,NO
2024,P160160004,NO,NO,SI,NO,NO
2024,P160160003,NO,NO,SI,NO,NO
2024,P161070020,NO,SI,NO,NO,NO
2024,P161070025,NO,SI,NO,NO,NO
2024,P160160011,NO,SI,NO,NO,NO
2024,P161070004,NO,SI,NO,NO,NO
2024,P161070019,NO,SI,NO,NO,NO
2024,P160340122,NO,NO,SI,NO,NO
2024,P160340130,NO,NO,SI,NO,NO
2024,P160340133,NO,NO,SI,NO,NO
2024,P160540001,NO,NO,SI,NO,NO
