C601,C602,R001-0701,R001-0702,R001-0703,R001-0704,R001-0705,R001-0706,R001-0707,R001-0708,R001-0709,R001-0710,R001-0711,R001-0712
2024,P04,1110270.44,NA,3869407.15,NA,NA,NA,NA,NA,NA,NA,530987.65,372929.95
2024,P05,3148103.31,NA,3620718.77,NA,NA,NA,NA,NA,NA,NA,706734.10,554577.92
2024,P06,1693202.99,NA,4466359.62,NA,NA,NA,NA,NA,NA,NA,682227.76,491472.16
