C601,C602,R002-0301,R002-0302,,,,,,,
2024,P01,43334.52,28334.52,,,,,,,
2024,P02,-10794.38,-25794.38,,,,,,,
2024,P03,24805.01,9805.01,,,,,,,
2024,P04,50545.32,35545.32,,,,,,,
2024,P05,-63168.56,-78168.56,,,,,,,
2024,P06,38229.68,23229.68,,,,,,,
2024,P07,-11781.10,-26781.10,,,,,,,
2024,P08,70370.26,55370.26,,,,,,,
2024,P09,28973.05,13973.05,,,,,,,
2024,P10,25544.48,10544.48,,,,,,,
2024,P11,-1002.54,-16002.54,,,,,,,
2024,P12,44223.28,29223.28,,,,,,,
