C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208,
2024,P01,0,NA,33980,NA,NA,NA,NA,48429.24,
2024,P02,4500,NA,23786,NA,NA,NA,NA,101121.17,
2024,P03,0,NA,33980,NA,NA,NA,NA,39002.79,
2024,P04,0,NA,23786,NA,NA,NA,NA,314320.47,
2024,P05,0,NA,33980,NA,NA,NA,NA,71815.14,
2024,P06,0,NA,33980,NA,NA,NA,NA,49423.47,
2024,P07,0,NA,33980,NA,NA,NA,NA,40425.06,
2024,P08,0,NA,33980,NA,NA,NA,NA,31714.21,
2024,P09,0,NA,55450,NA,NA,NA,NA,45670.59,
2024,P10,0,NA,127575,NA,NA,NA,NA,26136.41,
2024,P11,6500,NA,134711,NA,NA,NA,NA,61837.34,
2024,P12,6500,NA,144905,NA,NA,NA,NA,42033.04,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
