C601,C602,C101,C001,R004-0601,R004-0602,R004-0603,R004-0604,R004-0605,R004-0606,R004-0607,R004-0608,R004-0609,R004-0610,R004-0611,R004-0612,R004-0613,R004-0614
2024,P10,NA,P09,802,NA,NA,NA,NA,NA,NA,638,13,18,28,NA,NA,NA
2024,P10,NA,P19,351,NA,NA,NA,NA,NA,NA,253,26,9,9,NA,NA,NA
2024,P11,NA,P09,622,NA,NA,NA,NA,NA,NA,380,81,22,17,NA,NA,NA
2024,P11,NA,P19,289,NA,NA,NA,NA,NA,NA,222,81,10,7,NA,NA,NA
2024,P12,NA,P09,704,NA,NA,NA,NA,NA,NA,241,33,24,19,NA,NA,NA
2024,P12,NA,P19,608,NA,NA,NA,NA,NA,NA,158,39,19,25,NA,NA,NA
