C601,C602,C101,C102,R004-0201,R004-0202
2024,P10,P101,P02,NA,706295.49
2024,P10,P108,P02,NA,177477.65
2024,P10,P115,P02,NA,4086922.75
2024,P11,P101,P02,NA,770615.46
2024,P11,P108,P02,NA,147486.62
2024,P11,P115,P02,NA,3600738.39
2024,P12,P101,P02,NA,491012.64
2024,P12,P108,P02,NA,167847.59
2024,P12,P115,P02,NA,3975177.99
