C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,"100,547",NA,NA,NA,NA,"177,998","34,743","2,057"
2024,P02,"99,350",NA,NA,NA,NA,"175,879","34,329","2,032"
2024,P03,"102,342",NA,NA,NA,NA,"181,177","35,363","2,093"
2024,P04,"104,138",NA,NA,NA,NA,"184,355","35,984","2,130"
2024,P05,"101,744",NA,NA,NA,NA,"180,117","35,157","2,081"
2024,P06,"104,138",NA,NA,NA,NA,"184,355","35,984","2,130"
2024,P07,"102,103",NA,NA,NA,NA,"180,753","35,281","2,089"
2024,P08,"102,941",NA,NA,NA,NA,"182,236","35,570","2,106"
2024,P09,"99,350",NA,NA,NA,NA,"175,879","34,329","2,032"
2024,P10,"91,091",NA,NA,NA,NA,"161,258","31,476","1,863"
2024,P11,"95,759",NA,NA,NA,NA,"169,522","33,089","1,959"
2024,P12,"93,485",NA,NA,NA,NA,"165,496","32,303","1,912"
,,,,,,,,,
,,,,,,,,,
