C501,C001,R025-0101,R025-0102,R025-0103,R025-0104,R025-0105,R025-0106,R025-0107,R025-0108,R025-0109,R025-0110,R025-0111,R025-0112,R025-0113,R025-0114
2024,P32010,0,0,0,0,0,2787,0,0,0,0,0,0,0,0
2024,P32038,0,0,0,0,0,156,0,0,0,0,0,0,0,0
