C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P151150001,N/A,N/A,N/A,N/A,N/A,268
2024,P150180001,N/A,N/A,N/A,N/A,N/A,147
2024,P150180008,N/A,N/A,N/A,N/A,N/A,83
2024,P150180036,N/A,N/A,N/A,N/A,N/A,60
2024,P150730001,N/A,N/A,N/A,N/A,N/A,204
2024,P150730002,N/A,N/A,N/A,N/A,N/A,202
2024,P150540001,N/A,N/A,N/A,N/A,N/A,410
2024,P150180011,N/A,N/A,N/A,N/A,N/A,87
2024,P150540032,N/A,N/A,N/A,N/A,N/A,158
2024,P150540052,N/A,N/A,N/A,N/A,N/A,70
2024,P150540106,N/A,N/A,N/A,N/A,N/A,45
2024,P151010014,N/A,N/A,N/A,N/A,N/A,153
2024,P151150001,N/A,N/A,N/A,N/A,N/A,135
