C501;C502;C201;R023-0101;R023-0102;R023-0103
Año;Trimestre;"Desagregador por
Red de Acceso
General";"Ingresos no
recurrentes de la
provisión
no recurrente del
Servicio Mayorista
de Provisión de
Capacidad
Satelital (Pesos (MXN)";"Ingresos de
provisión recurrente
del
Servicio Mayorista de Provisión de
Capacidad
Satelital (Pesos (MXN)";"Ingresos de
provisión ocasional
del
Servicio Mayorista
de Provisión de
Capacidad
Satelital (Pesos (MXN)"
2026;P01;P16;; 1.522.348 ;
2026;P01;P17;; 244.716 ;
2026;P01;P15;; 429.093 ;
;;;;;
