C601;C602;C502;R012-0901;R012-0902;R012-0903;R012-0904
2025;P01;P01;PEGASO PCS,S.A. DE C.V.;Si;No;No
2025;P02;P01;PEGASO PCS,S.A. DE C.V.;Si;No;No
2025;P03;P01;PEGASO PCS,S.A. DE C.V.;Si;No;No
