C501,C502,C102,C001,C201,C301,R008-0201
2025,P01,P01,P02001,P01,P06,7831
2025,P01,P01,P02001,P03,P08,64086
2025,P01,P01,P02002,P01,P06,10725
2025,P01,P01,P02002,P03,P08,123484
2025,P01,P01,P02003,P01,P06,71
2025,P01,P01,P02003,P03,P08,13695
2025,P01,P01,P02004,P01,P06,6452
2025,P01,P01,P02004,P03,P08,209295
2025,P01,P01,P02005,P01,P06,881
2025,P01,P01,P02005,P03,P08,16080
2025,P01,P01,P26055,P01,P06,731
2025,P01,P01,P26055,P03,P08,22798
2025,P01,P01,P26070,P01,P06,50
2025,P01,P01,P26070,P03,P08,2813
2025,P01,P02,P02001,P01,P06,1514
2025,P01,P02,P02001,P03,P08,11865
2025,P01,P02,P02002,P01,P06,2374
2025,P01,P02,P02002,P03,P08,21259
2025,P01,P02,P02003,P01,P06,27
2025,P01,P02,P02003,P03,P08,2633
2025,P01,P02,P02004,P01,P06,2273
2025,P01,P02,P02004,P03,P08,39772
2025,P01,P02,P02005,P01,P06,149
2025,P01,P02,P02005,P03,P08,2793
2025,P01,P02,P26055,P01,P06,139
2025,P01,P02,P26055,P03,P08,4376
2025,P01,P02,P26070,P01,P06,13
2025,P01,P02,P26070,P03,P08,362
