C501,C502,C001,C402,R008-0301
2025,P01,P02001,P07,231
2025,P01,P02001,P10,1028
2025,P01,P02001,P11,249
2025,P01,P02001,P12,1
2025,P01,P02001,P13,193
2025,P01,P02001,P16,62504
2025,P01,P02001,P18,12119
2025,P01,P02001,P19,2617
2025,P01,P02001,P20,4796
2025,P01,P02001,P22,1324
2025,P01,P02001,P23,234
2025,P01,P02002,P07,568
2025,P01,P02002,P10,2130
2025,P01,P02002,P11,482
2025,P01,P02002,P12,32
2025,P01,P02002,P13,371
2025,P01,P02002,P16,109955
2025,P01,P02002,P18,25252
2025,P01,P02002,P19,6881
2025,P01,P02002,P20,9485
2025,P01,P02002,P22,2313
2025,P01,P02002,P23,373
2025,P01,P02003,P07,21
2025,P01,P02003,P10,210
2025,P01,P02003,P11,51
2025,P01,P02003,P13,37
2025,P01,P02003,P16,11063
2025,P01,P02003,P18,2799
2025,P01,P02003,P19,679
2025,P01,P02003,P20,1198
2025,P01,P02003,P22,323
2025,P01,P02003,P23,45
2025,P01,P02004,P07,1146
2025,P01,P02004,P10,2493
2025,P01,P02004,P11,679
2025,P01,P02004,P12,14
2025,P01,P02004,P13,572
2025,P01,P02004,P16,158312
2025,P01,P02004,P18,51004
2025,P01,P02004,P19,14424
2025,P01,P02004,P20,21857
2025,P01,P02004,P22,6242
2025,P01,P02004,P23,1049
2025,P01,P02005,P07,54
2025,P01,P02005,P10,192
2025,P01,P02005,P11,81
2025,P01,P02005,P12,6
2025,P01,P02005,P13,30
2025,P01,P02005,P16,13194
2025,P01,P02005,P18,3415
2025,P01,P02005,P19,718
2025,P01,P02005,P20,1748
2025,P01,P02005,P22,401
2025,P01,P02005,P23,64
2025,P01,P26055,P07,116
2025,P01,P26055,P10,363
2025,P01,P26055,P11,90
2025,P01,P26055,P13,61
2025,P01,P26055,P16,20361
2025,P01,P26055,P18,4071
2025,P01,P26055,P19,1030
2025,P01,P26055,P20,1486
2025,P01,P26055,P22,405
2025,P01,P26055,P23,61
2025,P01,P26070,P07,2
2025,P01,P26070,P10,38
2025,P01,P26070,P11,6
2025,P01,P26070,P13,3
2025,P01,P26070,P16,2575
2025,P01,P26070,P18,391
2025,P01,P26070,P19,63
2025,P01,P26070,P20,133
2025,P01,P26070,P22,24
2025,P01,P26070,P23,3
