C501,C502,C001,C102,R003-0101
2025,P01,P02001,P01,42556
2025,P01,P02001,P02,15790
2025,P01,P02002,P01,90919
2025,P01,P02002,P02,32384
2025,P01,P02003,P01,9192
2025,P01,P02003,P02,3058
2025,P01,P02004,P01,138190
2025,P01,P02004,P02,57789
2025,P01,P02005,P01,9905
2025,P01,P02005,P02,3333
2025,P01,P26055,P01,14557
2025,P01,P26055,P02,4465
2025,P01,P26070,P01,1312
2025,P01,P26070,P02,327
