C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2024,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,326,N/A,N/A,N/A
2024,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,326,N/A,N/A,N/A
2024,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,326,N/A,N/A,N/A
2024,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324,N/A,N/A,N/A
2024,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324,N/A,N/A,N/A
2024,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324,N/A,N/A,N/A
2024,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324,N/A,N/A,N/A
2024,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,324,N/A,N/A,N/A
2024,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,322,N/A,N/A,N/A
2024,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,322,N/A,N/A,N/A
2024,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,319,N/A,N/A,N/A
2024,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,319,N/A,N/A,N/A
