C601,C602,C306,C401,R015-0101,R015-0102,R015-0103,R015-0104
2021,P04,P03,P01,17829112.16,0,0,0
2021,P04,P03,P02,2846552.85,0,0,0
2021,P04,P03,P03,4014892.809,0,0,0
2021,P04,P03,P04,11407307.3,0,0,0
2021,P04,P03,P05,2280841.67,0,0,0
2021,P04,P03,P06,1062500,0,0,0
2021,P05,P03,NA,600,0,0,0
2021,P05,P03,P01,17857285.82,0,0,0
2021,P05,P03,P02,2948448.72,0,0,0
2021,P05,P03,P03,4006842.809,0,0,0
2021,P05,P03,P04,12528584.64,0,0,0
2021,P05,P03,P05,2237462.32,0,0,0
2021,P05,P03,P06,1062500,0,0,0
2021,P05,P03,NA,600,0,0,0
2021,P06,P03,P01,23941388.25,0,0,0
2021,P06,P03,P02,2975891.23,0,0,0
2021,P06,P03,P03,4037646.979,0,0,0
2021,P06,P03,P04,12557436.64,0,0,0
2021,P06,P03,P05,2225849.32,0,0,0
2021,P06,P03,P06,1062500,0,0,0
2021,P06,P03,NA,600,0,0,0
