C601,C602,C306,C401,R015-0301,R015-0302,R015-0303,R015-0304
2021,P04,P03,P01,230,0,0,0
2021,P04,P03,P02,537,0,0,0
2021,P04,P03,P03,591,0,0,0
2021,P04,P03,P04,2217,0,0,0
2021,P04,P03,P05,162,0,0,0
2021,P04,P03,P06,58,0,0,0
2021,P05,P03,P01,227,0,0,0
2021,P05,P03,P02,548,0,0,0
2021,P05,P03,P03,590,0,0,0
2021,P05,P03,P04,2282,0,0,0
2021,P05,P03,P05,165,0,0,0
2021,P05,P03,P06,58,0,0,0
2021,P06,P03,P01,229,0,0,0
2021,P06,P03,P02,548,0,0,0
2021,P06,P03,P03,594,0,0,0
2021,P06,P03,P04,2291,0,0,0
2021,P06,P03,P05,166,0,0,0
2021,P06,P03,P06,58,0,0,0
