C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2023,P220120001,NA,NA,3,NA,NA,NA
2023,P220140001,NA,NA,12,NA,NA,2500
2023,P220160001,NA,NA,8,NA,NA,NA
2023,P220170001,NA,NA,3,NA,NA,NA
2023,P230010001,NA,NA,3,NA,NA,NA
2023,P230020001,NA,NA,2,NA,NA,NA
2023,P230030001,NA,NA,2,NA,NA,NA
2023,P230050001,NA,NA,20,NA,NA,NA
2023,P230080001,NA,NA,12,NA,NA,NA
2023,P230080212,NA,NA,4,NA,NA,NA
2023,P230090001,NA,NA,3,NA,NA,NA
2023,P230110001,NA,NA,2,NA,NA,NA
2023,P250010001,NA,NA,5,NA,NA,NA
2023,P260030001,NA,NA,2,NA,NA,NA
2023,P260180001,NA,NA,14,NA,NA,NA
2023,P260180403,NA,NA,1,NA,NA,NA
2023,P260260001,NA,NA,4,NA,NA,NA
2023,P260260011,NA,NA,2,NA,NA,NA
2023,P260300001,NA,NA,16,NA,NA,NA
2023,P260300285,NA,NA,4,NA,NA,NA
2023,P260330001,NA,NA,2,NA,NA,NA
2023,P260330017,NA,NA,1,NA,NA,NA
2023,P260330099,NA,NA,1,NA,NA,NA
2023,P260420001,NA,NA,12,NA,NA,1500
2023,P260420760,NA,NA,2,NA,NA,NA
2023,P310500001,NA,NA,10,NA,NA,NA
2023,P240280001,NA,NA,4,NA,NA,NA
2023,P260290001,NA,NA,2,NA,NA,NA
2023,P260250001,NA,NA,2,NA,NA,NA
