C501 ,C001 ,R002-0301 ,R002-0302 ,R002-0303 ,R002-0304 ,R002-0305 ,R002-0306 ,R002-0307 ,R002-0308 ,R002-0309 ,R002-0310 ,R002-0311 ,R002-0312 ,R002-0313 ,R002-0314 
2024,P23009,NA,NA,NA,NA,NA,333,NA,NA,NA,NA,NA,NA,NA,NA
2024,P13010,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,NA,NA,NA
2024,P15025,NA,NA,NA,NA,NA,2170,NA,NA,NA,NA,NA,NA,NA,NA
2024,P15100,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,NA,NA
2024,P15031,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,NA
