C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,"4,257",NA,NA,NA,NA,"18,080","8,334",512
2024,P02,"4,511",NA,NA,NA,NA,"19,158","8,830",543
2024,P03,"4,370",NA,NA,NA,NA,"18,559","8,554",526
2024,P04,"4,906",NA,NA,NA,NA,"20,834","9,603",590
2024,P05,"4,793",NA,NA,NA,NA,"20,355","9,382",577
2024,P06,"4,906",NA,NA,NA,NA,"20,834","9,603",590
2024,P07,"4,849",NA,NA,NA,NA,"20,594","9,493",583
2024,P08,"4,849",NA,NA,NA,NA,"20,594","9,493",583
2024,P09,"4,680",NA,NA,NA,NA,"19,876","9,162",563
2024,P10,"4,737",NA,NA,NA,NA,"20,115","9,272",570
2024,P11,"4,680",NA,NA,NA,NA,"19,876","9,162",563
2024,P12,"4,849",NA,NA,NA,NA,"20,594","9,493",583
