C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,"30,809",NA,NA,NA,NA,NA,NA,NA,NA
2024,P02,"32,645",NA,NA,NA,NA,NA,NA,NA,NA
2024,P03,"31,625",NA,NA,NA,NA,NA,NA,NA,NA
2024,P04,"35,502",NA,NA,NA,NA,NA,NA,NA,NA
2024,P05,"34,685",NA,NA,NA,NA,NA,NA,NA,NA
2024,P06,"35,502",NA,NA,NA,NA,NA,NA,NA,NA
2024,P07,"35,094",NA,NA,NA,NA,NA,NA,NA,NA
2024,P08,"35,094",NA,NA,NA,NA,NA,NA,NA,NA
2024,P09,"33,869",NA,NA,NA,NA,NA,NA,NA,NA
2024,P10,"34,277",NA,NA,NA,NA,NA,NA,NA,NA
2024,P11,"33,869",NA,NA,NA,NA,NA,NA,NA,NA
2024,P12,"35,094",NA,NA,NA,NA,NA,NA,NA,NA
