C601,C602,C101,R002-0501
2022,P01,NA,NA
2022,P02,P109,12
2022,P03,P110,18
2022,P04,P111,28
2022,P05,P112,26
2022,P06,P113,62
2022,P07,P114,69
2022,P08,P115,81
2022,P09,P116,88
2022,P10,P117,94
2022,P11,P118,98
2022,P12,P119,115
