C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2022,P01,NA,NA,NA,NA,NA,NA,NA,NA
2022,P02,1000,1686,12000,728,NA,7350,NA,0
2022,P03,1000,1686,12000,728,NA,7350,NA,0
2022,P04,1000,1686,12000,728,NA,7350,NA,0
2022,P05,1000,1686,12000,728,NA,7350,NA,0
2022,P06,1000,1686,12000,728,NA,7350,NA,0
2022,P07,1000,1686,12000,728,NA,7350,NA,3000
2022,P08,1000,1686,12000,728,NA,7350,NA,0
2022,P09,1000,1686,12000,728,NA,7350,NA,0
2022,P10,1000,1686,12000,728,NA,7350,NA,0
2022,P11,1000,1686,12000,728,NA,7350,NA,0
2022,P12,1000,1686,12000,728,NA,7350,NA,0
,,,,,,,,,
,,,,,,,,,
