C601,C602,R002-0601,R002-0602,R002-0603,R002-0604,R002-0605,R002-0606,R002-0607,R002-0608,R002-0609,R002-0610,R002-0611,R002-0612,R002-0613
2022,P01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,P02,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
2022,P03,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA
2022,P04,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
2022,P05,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA
2022,P06,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA
2022,P07,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA
2022,P08,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA
2022,P09,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA
2022,P10,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA
2022,P11,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA
2022,P12,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA
