C601,C003,R027-0301,R027-0302,R027-0303,R027-0304,R027-0305,R027-0306
2024,P140020001,NA,NA,NA,832,NA,527
2024,P140020002,NA,NA,NA,92,NA,59
2024,P141140001,NA,NA,NA,208,NA,432
2024,P141140002,NA,NA,NA,97,NA,37
2024,P141140005,NA,NA,NA,228,NA,85
2024,P141190001,NA,NA,NA,285,NA,206
2024,P141190005,NA,NA,NA,88,NA,63
2024,P141190011,NA,NA,NA,285,NA,206
2024,P141190002,NA,NA,NA,0,NA,0
2024,P141190003,NA,NA,NA,99,NA,71
2024,P141190004,NA,NA,NA,99,NA,71
2024,P141190014,NA,NA,NA,99,NA,71
2024,P141190006,NA,NA,NA,32,NA,23
2024,P141190009,NA,NA,NA,22,NA,16
2024,P141190018,NA,NA,NA,44,NA,32
2024,P140020025,NA,NA,NA,44,NA,32
2024,P140820001,NA,NA,NA,34,NA,573
2024,P140890001,NA,NA,NA,4,NA,95
2024,P140140001,NA,NA,NA,0,NA,70
2024,P140040001,NA,NA,NA,0,NA,26
2024,P210530001,NA,NA,NA,0,NA,722
2024,P212080001,NA,NA,NA,20,NA,906
2024,P240110001,NA,NA,NA,757,NA,413
2024,P240240069,NA,NA,NA,405,NA,275
2024,P240240001,NA,NA,NA,1177,NA,680
