C601,C602,C101,C102,C103,R004-0101
2023,P01,P101,P02,P02,189
2023,P01,P108,P01,P02,5
2023,P01,P108,P02,P02,"7,367"
2023,P01,XXX,P02,P02,91
2023,P01,P201,P01,P02,"1,633,369"
2023,P01,P201,P02,P02,"161,591"
2023,P01,P207,P01,P02,"56,852"
2023,P01,P301,P01,P02,"2,447,242"
2023,P01,P301,P02,P02,"56,864"
2023,P02,P101,P02,P02,192
2023,P02,P108,P01,P02,5
2023,P02,P108,P02,P02,"7,580"
2023,P02,XXX,P02,P02,77
2023,P02,P201,P01,P02,"1,658,325"
2023,P02,P201,P02,P02,"165,364"
2023,P02,P207,P01,P02,"59,633"
2023,P02,P301,P01,P02,"2,443,589"
2023,P02,P301,P02,P02,"57,273"
2023,P03,P101,P02,P02,192
2023,P03,P108,P01,P02,5
2023,P03,P108,P02,P02,"7,748"
2023,P03,XXX,P02,P02,74
2023,P03,P201,P01,P02,"1,693,798"
2023,P03,P201,P02,P02,"170,768"
2023,P03,P207,P01,P02,"63,486"
2023,P03,P301,P01,P02,"2,446,522"
2023,P03,P301,P02,P02,"57,968"
