C601,C602,C306,C401,R015-0301,R015-0302,R015-0303,R015-0304
2022,P10,P03,P01,208,0,0,0
2022,P10,P03,P02,608,0,0,0
2022,P10,P03,P03,560,0,0,0
2022,P10,P03,P04,2329,0,0,0
2022,P10,P03,P05,144,0,0,0
2022,P10,P03,P06,53,0,0,0
2022,P11,P03,P01,211,0,0,0
2022,P11,P03,P02,606,0,0,0
2022,P11,P03,P03,573,0,0,0
2022,P11,P03,P04,2349,0,0,0
2022,P11,P03,P05,144,0,0,0
2022,P11,P03,P06,53,0,0,0
2022,P12,P03,P01,211,0,0,0
2022,P12,P03,P02,603,0,0,0
2022,P12,P03,P03,573,0,0,0
2022,P12,P03,P04,2353,0,0,0
2022,P12,P03,P05,141,0,0,0
2022,P12,P03,P06,53,0,0,0
