C601,C602,C306,C401,R015-0101,R015-0102,R015-0103,R015-0104
2022,P10,P03,P01,22082823.19,0,0,0
2022,P10,P03,P02,2848260.69,0,0,0
2022,P10,P03,P03,2795493.26,0,0,0
2022,P10,P03,P04,12584354.74,0,0,0
2022,P10,P03,P05,1348690.11,0,0,0
2022,P10,P03,P06,705000,0,0,0
2022,P10,P03,NA,600,0,0,0
2022,P11,P03,P01,15914904.92,0,0,0
2022,P11,P03,P02,2836552.52,0,0,0
2022,P11,P03,P03,2823493.26,0,0,0
2022,P11,P03,P04,12847354.74,0,0,0
2022,P11,P03,P05,1352840.11,0,0,0
2022,P11,P03,P06,705000,0,0,0
2022,P11,P03,NA,600,0,0,0
2022,P12,P03,P01,22099781.36,0,0,0
2022,P12,P03,P02,2841552.52,0,0,0
2022,P12,P03,P03,2841493.26,0,0,0
2022,P12,P03,P04,12962153.74,0,0,0
2022,P12,P03,P05,1170488.11,0,0,0
2022,P12,P03,P06,705000,0,0,0
2022,P12,P03,NA,600,0,0,0
