C501,C502,C401,R013-0101,R013-0102
2025,P01,P01,8221222.15,404844
2025,P01,P02,7502872.26,369469.74
2025,P01,P03,187563.91,9236.35
2025,P01,P04,46890.98,2309.09
2025,P01,P05,5964659.1,293722.32
