C501,C502,C001,C101,C102,R001-0301
2025,P02,P22001,P101,P01,0
2025,P02,P22001,P108,P01,0
2025,P02,P22002,P101,P01,0
2025,P02,P22002,P108,P01,0
2025,P02,P22003,P101,P01,0
2025,P02,P22003,P108,P01,0
2025,P02,P22004,P101,P01,0
2025,P02,P22004,P108,P01,0
2025,P02,P22005,P101,P01,0
2025,P02,P22005,P108,P01,6
2025,P02,P22006,P101,P01,1
2025,P02,P22006,P108,P01,101
2025,P02,P22007,P101,P01,0
2025,P02,P22007,P108,P01,0
2025,P02,P22008,P101,P01,0
2025,P02,P22008,P108,P01,1
2025,P02,P22009,P101,P01,0
2025,P02,P22009,P108,P01,0
2025,P02,P22010,P101,P01,0
2025,P02,P22010,P108,P01,0
2025,P02,P22011,P101,P01,457
2025,P02,P22011,P108,P01,8031
2025,P02,P22012,P101,P01,0
2025,P02,P22012,P108,P01,0
2025,P02,P22013,P101,P01,0
2025,P02,P22013,P108,P01,0
2025,P02,P22014,P101,P01,42
2025,P02,P22014,P108,P01,787
2025,P02,P22015,P101,P01,0
2025,P02,P22015,P108,P01,0
2025,P02,P22016,P101,P01,0
2025,P02,P22016,P108,P01,59
2025,P02,P22017,P101,P01,0
2025,P02,P22017,P108,P01,1
2025,P02,P22018,P101,P01,0
2025,P02,P22018,P108,P01,0
2025,P02,P22014,P101,P02,55
2025,P02,P22014,P108,P02,124
2025,P02,P22014,P115,P02,162
2025,P02,P31050,P101,P02,1
2025,P02,P31050,P108,P02,27
2025,P02,P31050,P115,P02,119
2025,P02,P23011,P101,P02,0
2025,P02,P23011,P108,P02,2
2025,P02,P23011,P115,P02,2
