C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,0,NA,18490,NA,600,68120,NA,0
2024,P02,0,NA,43535,NA,1200,34400,NA,7210
2024,P03,0,NA,43440,NA,3550,34400,NA,21200
2024,P04,0,NA,43780,NA,3000,43040,NA,34884
2024,P05,0,NA,43825,NA,2120,34410,NA,25789
2024,P06,0,NA,43915,NA,80,33730,NA,2530
2024,P07,0,NA,44015,NA,7950,33730,NA,3615
2024,P08,0,NA,43826,NA,950,33730,NA,12990
2024,P09,0,NA,44445,NA,1110,33730,NA,137457
2024,P10,7000,NA,44460,NA,6770,50700,NA,2148
2024,P11,0,NA,44400,NA,531,49649,NA,102699
2024,P12,0,NA,44460,NA,0,48115,NA,62380
