C501;R001-0501;R001-0502;R001-0503;R001-0504;R001-0505;R001-0506
Año;Inversión en Infraestructura de telecomunicaciones ;Inversión en terrenos y edificios ;Inversión en activos no tangibles ;Inversión en otros activos ;Depreciación y amortización de inversiones ;"	
Disminución por venta de activos "
2025; -   ; -   ; -   ; -   ; -   ; -   
