C601,C602,R002-0101,R002-0102,R002-0103,R002-0104,R002-0105,R002-0106,R002-0107,R002-0108,R002-0109
2024,P01,NA,NA,202646.65,NA,NA,NA,NA,NA,NA
2024,P02,NA,NA,208469,NA,NA,NA,NA,NA,NA
2024,P03,NA,NA,211634,NA,NA,NA,NA,NA,NA
2024,P04,NA,NA,217540,NA,NA,NA,NA,NA,NA
2024,P05,NA,NA,223026,NA,NA,NA,NA,NA,NA
2024,P06,NA,NA,229232,NA,NA,NA,NA,NA,NA
2024,P07,NA,NA,256348,NA,NA,NA,NA,NA,NA
2024,P08,NA,NA,258431,NA,NA,NA,NA,NA,NA
2024,P09,NA,NA,277002,NA,NA,NA,NA,NA,NA
2024,P10,NA,NA,274478,NA,NA,NA,NA,NA,NA
2024,P11,NA,NA,259872,NA,NA,NA,NA,NA,NA
2024,P12,NA,NA,324651,NA,NA,NA,NA,NA,NA
,,,,,,,,,,
,,,,,,,,,,
