C601,C602,R002-0201,R002-0202,R002-0203,R002-0204,R002-0205,R002-0206,R002-0207,R002-0208
2024,P01,1500,3375,25520,NA,0,13600,NA,NA
2024,P02,1500,2900,25520,NA,0,15400,NA,NA
2024,P03,1500,2900,25520,NA,0,15320,NA,NA
2024,P04,1500,3200,25520,NA,0,15320,NA,NA
2024,P05,1500,3950,25520,NA,0,20300,NA,NA
2024,P06,1500,4750,25520,NA,0,19000,NA,NA
2024,P07,1500,4750,25520,NA,6000,26060,NA,NA
2024,P08,1500,4750,25520,NA,0,37975,NA,NA
2024,P09,1500,4750,25520,NA,0,18880,NA,NA
2024,P10,1500,4400,25520,NA,0,40942.5,NA,NA
2024,P11,1500,4750,25520,NA,0,34732,NA,NA
2024,P12,1500,11216.17,25520,NA,0,41499.05,NA,NA
,,,,,,,,,
,,,,,,,,,
