C601,C602,C502,R007-1001,R007-1002,R007-1003,R007-1004,R007-1005
2024,P10,P01,Altan Redes SAPI de C.V.,Si,Si,Si,Si
2024,P10,P01,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.",Si,Si,Si,Si
2024,P11,P01,Altan Redes SAPI de C.V.,Si,Si,Si,Si
2024,P11,P01,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.",Si,Si,Si,Si
2024,P12,P01,Altan Redes SAPI de C.V.,Si,Si,Si,Si
2024,P12,P01,"AT&T Comunicaciones Digitales, S. de R.L. de C.V.",Si,Si,Si,Si
