C601,C602,R007-0801,R007-0802
Desagregador por Año,Desagregador por Mes,SMS de salida a destinos internacionales,SMS de salida a destinos nacionales
2024,P01," 3,413,950 "," 3,399,050 "
2024,P02," 4,304,400 "," 4,298,850 "
2024,P03," 5,529,550 "," 5,524,950 "
2024,P04," 5,994,075 "," 6,191,425 "
2024,P05," 6,903,650 "," 12,194,975 "
2024,P06," 7,095,075 "," 12,865,050 "
2024,P07," 7,857,100 "," 14,174,275 "
2024,P08," 8,372,525 "," 15,369,600 "
2024,P09," 8,897,450 "," 16,312,175 "
2024,P10," 10,106,350 "," 18,496,025 "
2024,P11," 10,584,200 "," 19,337,300 "
2024,P12," 11,182,125 "," 20,459,750 "
