C601,C602,R007-0401,R007-0402,R007-0403
2024,P01,0,"12,707,000",NA
2024,P02,0,"16,318,000",NA
2024,P03,0,"20,838,000",NA
2024,P04,"20,228,400","22,744,250",NA
2024,P05,"539,069,100","35,413,850",NA
2024,P06,"587,971,500","36,756,600",NA
2024,P07,"644,768,700","40,285,850",NA
2024,P08,"715,097,700","44,477,900",NA
2024,P09,"763,362,000","46,869,650",NA
2024,P10,"863,055,300","52,966,700",NA
2024,P11,"893,126,700","55,621,700",NA
2024,P12,"941,698,200","59,277,100",NA
