C601,C602,C502,R007-1001,R007-1002,R007-1003,R007-1004,R007-1005
2024,P01,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P02,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P03,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P04,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P05,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P06,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P07,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P08,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P09,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P10,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P11,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
2024,P12,P01,ALTAN REDES S.A.P.I DE C.V.,SI,SI,SI,SI
