C601,C602,C102,C103,R007-0201
2024,P01,P01,P01,23936
2024,P02,P01,P01,27996
2024,P03,P01,P01,31576
2024,P04,P01,P01,37151
2024,P05,P01,P01,36534
2024,P06,P01,P01,36473
2024,P07,P01,P01,35748
2024,P08,P01,P01,39014
2024,P09,P01,P01,41675
2024,P10,P01,P01,51030
2024,P11,P01,P01,59726
2024,P12,P01,P01,71753
